incident_id,description,reported_date,reported_by_user_id,camera_id
24,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 23, location ID: 324. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-12-29,84,23
25,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 11, location ID: 374. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-12-22,173,11
26,"An emergency exit door was opened without authorization and the area was inspected. Related camera ID: 238, location ID: 33. Initial response was documented by hotel security. Severity level used for generation: High.",2025-08-06,235,238
27,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 315, location ID: 287. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-01-01,115,315
28,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 351, location ID: 31. Initial response was documented by hotel security. Severity level used for generation: Medium.",2024-12-10,497,351
29,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 252, location ID: 473. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-10-16,350,252
30,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 167, location ID: 79. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-08-29,380,167
31,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 320, location ID: 394. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-09-01,284,320
32,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 286, location ID: 481. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-11-30,310,286
33,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 333, location ID: 82. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-12-27,270,333
34,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 426, location ID: 66. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-02-06,271,426
35,"Unauthorized access attempt was detected near the server room and escalated to management. Related camera ID: 385, location ID: 254. Initial response was documented by hotel security. Severity level used for generation: High.",2025-04-18,200,385
36,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 488, location ID: 305. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-12-12,438,488
37,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 493, location ID: 334. Initial response was documented by hotel security. Severity level used for generation: Medium.",2024-07-16,232,493
38,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 82, location ID: 42. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-08-19,43,82
39,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 405, location ID: 215. Initial response was documented by hotel security. Severity level used for generation: Low.",2026-03-17,194,405
40,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 200, location ID: 23. Initial response was documented by hotel security. Severity level used for generation: Medium.",2024-12-26,245,200
41,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 32, location ID: 441. Initial response was documented by hotel security. Severity level used for generation: Low.",2026-02-22,462,32
42,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 100, location ID: 429. Initial response was documented by hotel security. Severity level used for generation: Low.",2026-04-25,279,100
43,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 431, location ID: 79. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-07-31,234,431
44,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 53, location ID: 451. Initial response was documented by hotel security. Severity level used for generation: Medium.",2026-02-27,333,53
45,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 17, location ID: 93. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-11-25,456,17
46,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 164, location ID: 215. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-01-09,420,164
47,"A theft report was opened and CCTV footage was reviewed by the security team. Related camera ID: 262, location ID: 124. Initial response was documented by hotel security. Severity level used for generation: High.",2025-02-17,500,262
48,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 222, location ID: 197. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-03-14,346,222
49,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 335, location ID: 278. Initial response was documented by hotel security. Severity level used for generation: Low.",2026-03-16,192,335
50,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 283, location ID: 207. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-10-18,284,283
51,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 225, location ID: 145. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-08-06,350,225
52,"Repeated disturbance was reported in a guest corridor and security responded. Related camera ID: 66, location ID: 152. Initial response was documented by hotel security. Severity level used for generation: High.",2024-12-09,366,66
53,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 259, location ID: 48. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-08-07,19,259
54,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 430, location ID: 62. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-10-23,486,430
55,"Repeated disturbance was reported in a guest corridor and security responded. Related camera ID: 193, location ID: 288. Initial response was documented by hotel security. Severity level used for generation: High.",2024-08-07,325,193
56,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 145, location ID: 243. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-02-01,21,145
57,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 374, location ID: 462. Initial response was documented by hotel security. Severity level used for generation: Medium.",2026-04-08,482,374
58,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 342, location ID: 355. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-05-27,334,342
59,"Repeated disturbance was reported in a guest corridor and security responded. Related camera ID: 52, location ID: 293. Initial response was documented by hotel security. Severity level used for generation: High.",2024-09-06,58,52
60,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 288, location ID: 130. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-10-01,259,288
61,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 458, location ID: 183. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-10-10,177,458
62,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 350, location ID: 289. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-04-19,469,350
63,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 475, location ID: 144. Initial response was documented by hotel security. Severity level used for generation: Medium.",2024-12-12,231,475
64,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 195, location ID: 65. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-10-12,289,195
65,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 253, location ID: 241. Initial response was documented by hotel security. Severity level used for generation: Low.",2026-05-19,346,253
66,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 126, location ID: 488. Initial response was documented by hotel security. Severity level used for generation: Medium.",2024-07-19,151,126
67,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 433, location ID: 343. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-03-30,400,433
68,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 9, location ID: 53. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-07-09,303,9
69,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 249, location ID: 153. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-06-02,310,249
70,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 391, location ID: 185. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-12-05,467,391
71,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 165, location ID: 401. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-01-18,372,165
72,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 414, location ID: 85. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-08-11,390,414
73,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 11, location ID: 374. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-08-29,410,11
74,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 478, location ID: 338. Initial response was documented by hotel security. Severity level used for generation: Medium.",2024-09-22,410,478
75,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 87, location ID: 438. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-06-18,292,87
76,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 379, location ID: 266. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-06-27,278,379
77,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 230, location ID: 353. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-01-16,134,230
78,"Unauthorized access attempt was detected near the server room and escalated to management. Related camera ID: 95, location ID: 50. Initial response was documented by hotel security. Severity level used for generation: High.",2024-06-07,77,95
79,"An emergency exit door was opened without authorization and the area was inspected. Related camera ID: 98, location ID: 219. Initial response was documented by hotel security. Severity level used for generation: High.",2025-09-05,105,98
80,"An emergency exit door was opened without authorization and the area was inspected. Related camera ID: 353, location ID: 206. Initial response was documented by hotel security. Severity level used for generation: High.",2025-02-03,468,353
81,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 201, location ID: 229. Initial response was documented by hotel security. Severity level used for generation: Low.",2026-03-03,296,201
82,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 131, location ID: 498. Initial response was documented by hotel security. Severity level used for generation: Medium.",2024-09-13,337,131
83,"Security supported emergency response procedures for a medical incident on hotel premises. Related camera ID: 67, location ID: 234. Initial response was documented by hotel security. Severity level used for generation: Critical.",2026-01-14,355,67
84,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 413, location ID: 220. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-10-03,169,413
85,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 449, location ID: 407. Initial response was documented by hotel security. Severity level used for generation: Low.",2026-05-09,388,449
86,"An emergency exit door was opened without authorization and the area was inspected. Related camera ID: 189, location ID: 166. Initial response was documented by hotel security. Severity level used for generation: High.",2024-10-03,104,189
87,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 119, location ID: 480. Initial response was documented by hotel security. Severity level used for generation: Medium.",2024-07-12,96,119
88,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 242, location ID: 458. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-10-03,467,242
89,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 185, location ID: 46. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-10-10,456,185
90,"A critical access attempt to the server room was denied and escalated immediately. Related camera ID: 418, location ID: 226. Initial response was documented by hotel security. Severity level used for generation: Critical.",2026-05-10,145,418
91,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 45, location ID: 431. Initial response was documented by hotel security. Severity level used for generation: Medium.",2026-01-07,482,45
92,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 100, location ID: 429. Initial response was documented by hotel security. Severity level used for generation: Medium.",2026-01-05,458,100
93,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 210, location ID: 55. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-07-30,394,210
94,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 90, location ID: 298. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-01-06,74,90
95,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 253, location ID: 241. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-10-19,317,253
96,"Unauthorized access attempt was detected near the server room and escalated to management. Related camera ID: 101, location ID: 402. Initial response was documented by hotel security. Severity level used for generation: High.",2024-10-13,166,101
97,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 483, location ID: 450. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-04-27,489,483
98,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 467, location ID: 188. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-06-07,172,467
99,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 419, location ID: 337. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-02-15,341,419
100,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 122, location ID: 454. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-08-31,103,122
101,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 414, location ID: 85. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-11-02,2,414
102,"An emergency exit door was opened without authorization and the area was inspected. Related camera ID: 216, location ID: 177. Initial response was documented by hotel security. Severity level used for generation: High.",2025-03-05,77,216
103,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 93, location ID: 182. Initial response was documented by hotel security. Severity level used for generation: Medium.",2026-02-27,397,93
104,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 243, location ID: 113. Initial response was documented by hotel security. Severity level used for generation: Medium.",2026-05-30,338,243
105,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 183, location ID: 347. Initial response was documented by hotel security. Severity level used for generation: Medium.",2026-05-25,399,183
106,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 451, location ID: 288. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-09-12,331,451
107,"Unauthorized access attempt was detected near the server room and escalated to management. Related camera ID: 156, location ID: 409. Initial response was documented by hotel security. Severity level used for generation: High.",2025-10-28,285,156
108,"Repeated disturbance was reported in a guest corridor and security responded. Related camera ID: 474, location ID: 43. Initial response was documented by hotel security. Severity level used for generation: High.",2025-08-08,57,474
109,"Security initiated support procedures for a major evacuation drill or emergency event. Related camera ID: 123, location ID: 84. Initial response was documented by hotel security. Severity level used for generation: Critical.",2024-12-03,420,123
110,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 299, location ID: 380. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-08-12,14,299
111,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 153, location ID: 417. Initial response was documented by hotel security. Severity level used for generation: Medium.",2024-06-15,438,153
112,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 373, location ID: 431. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-08-12,205,373
113,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 276, location ID: 449. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-01-12,351,276
114,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 403, location ID: 152. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-12-04,75,403
115,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 192, location ID: 153. Initial response was documented by hotel security. Severity level used for generation: Low.",2026-03-24,310,192
116,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 402, location ID: 262. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-01-10,408,402
117,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 245, location ID: 36. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-10-13,439,245
118,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 446, location ID: 378. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-02-28,341,446
119,"An emergency exit door was opened without authorization and the area was inspected. Related camera ID: 494, location ID: 379. Initial response was documented by hotel security. Severity level used for generation: High.",2024-11-11,383,494
120,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 46, location ID: 118. Initial response was documented by hotel security. Severity level used for generation: Medium.",2026-03-14,281,46
121,"Security initiated support procedures for a major evacuation drill or emergency event. Related camera ID: 287, location ID: 391. Initial response was documented by hotel security. Severity level used for generation: Critical.",2024-07-11,339,287
122,"Security initiated support procedures for a major evacuation drill or emergency event. Related camera ID: 153, location ID: 417. Initial response was documented by hotel security. Severity level used for generation: Critical.",2024-09-17,212,153
123,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 415, location ID: 245. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-11-02,247,415
124,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 413, location ID: 220. Initial response was documented by hotel security. Severity level used for generation: Medium.",2024-11-17,392,413
125,"An emergency exit door was opened without authorization and the area was inspected. Related camera ID: 467, location ID: 188. Initial response was documented by hotel security. Severity level used for generation: High.",2026-02-16,327,467
126,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 63, location ID: 344. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-10-11,408,63
127,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 406, location ID: 67. Initial response was documented by hotel security. Severity level used for generation: Medium.",2026-05-27,338,406
128,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 156, location ID: 409. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-12-03,401,156
129,"A theft report was opened and CCTV footage was reviewed by the security team. Related camera ID: 251, location ID: 266. Initial response was documented by hotel security. Severity level used for generation: High.",2024-10-13,472,251
130,"A theft report was opened and CCTV footage was reviewed by the security team. Related camera ID: 488, location ID: 305. Initial response was documented by hotel security. Severity level used for generation: High.",2026-02-28,488,488
131,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 180, location ID: 93. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-01-20,25,180
132,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 106, location ID: 210. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-10-12,368,106
133,"Security supported emergency response procedures for a medical incident on hotel premises. Related camera ID: 79, location ID: 202. Initial response was documented by hotel security. Severity level used for generation: Critical.",2024-10-26,273,79
134,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 99, location ID: 58. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-10-05,444,99
135,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 2, location ID: 90. Initial response was documented by hotel security. Severity level used for generation: Medium.",2026-05-19,123,2
136,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 317, location ID: 205. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-08-13,120,317
137,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 325, location ID: 195. Initial response was documented by hotel security. Severity level used for generation: Low.",2026-01-08,207,325
138,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 306, location ID: 169. Initial response was documented by hotel security. Severity level used for generation: Medium.",2024-05-25,284,306
139,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 180, location ID: 93. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-06-26,126,180
140,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 281, location ID: 342. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-01-07,472,281
141,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 455, location ID: 72. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-10-31,244,455
142,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 390, location ID: 24. Initial response was documented by hotel security. Severity level used for generation: Medium.",2024-06-11,48,390
143,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 471, location ID: 11. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-08-22,88,471
144,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 107, location ID: 179. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-09-13,131,107
145,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 178, location ID: 346. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-07-27,281,178
146,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 412, location ID: 71. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-08-09,420,412
147,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 469, location ID: 196. Initial response was documented by hotel security. Severity level used for generation: Medium.",2024-07-20,100,469
148,"Unauthorized access attempt was detected near the server room and escalated to management. Related camera ID: 145, location ID: 243. Initial response was documented by hotel security. Severity level used for generation: High.",2024-05-26,314,145
149,"Unauthorized access attempt was detected near the server room and escalated to management. Related camera ID: 321, location ID: 331. Initial response was documented by hotel security. Severity level used for generation: High.",2025-05-18,19,321
150,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 35, location ID: 40. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-01-04,208,35
151,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 241, location ID: 302. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-11-30,40,241
152,"Repeated disturbance was reported in a guest corridor and security responded. Related camera ID: 258, location ID: 144. Initial response was documented by hotel security. Severity level used for generation: High.",2025-03-06,9,258
153,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 68, location ID: 230. Initial response was documented by hotel security. Severity level used for generation: Medium.",2024-07-23,256,68
154,"Unauthorized access attempt was detected near the server room and escalated to management. Related camera ID: 338, location ID: 410. Initial response was documented by hotel security. Severity level used for generation: High.",2025-10-31,38,338
155,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 131, location ID: 498. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-03-21,161,131
156,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 5, location ID: 490. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-07-30,407,5
157,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 410, location ID: 149. Initial response was documented by hotel security. Severity level used for generation: Low.",2026-03-14,291,410
158,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 263, location ID: 128. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-04-30,380,263
159,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 385, location ID: 254. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-12-25,454,385
160,"Repeated disturbance was reported in a guest corridor and security responded. Related camera ID: 186, location ID: 134. Initial response was documented by hotel security. Severity level used for generation: High.",2026-01-10,394,186
161,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 443, location ID: 51. Initial response was documented by hotel security. Severity level used for generation: Low.",2026-02-28,498,443
162,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 5, location ID: 490. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-07-10,55,5
163,"A theft report was opened and CCTV footage was reviewed by the security team. Related camera ID: 498, location ID: 18. Initial response was documented by hotel security. Severity level used for generation: High.",2025-10-02,327,498
164,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 467, location ID: 188. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-02-04,138,467
165,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 362, location ID: 139. Initial response was documented by hotel security. Severity level used for generation: Low.",2024-08-03,357,362
166,"Repeated disturbance was reported in a guest corridor and security responded. Related camera ID: 238, location ID: 33. Initial response was documented by hotel security. Severity level used for generation: High.",2024-11-14,84,238
167,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 495, location ID: 384. Initial response was documented by hotel security. Severity level used for generation: Low.",2026-05-06,213,495
168,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 154, location ID: 229. Initial response was documented by hotel security. Severity level used for generation: Low.",2026-05-04,83,154
169,"A theft report was opened and CCTV footage was reviewed by the security team. Related camera ID: 334, location ID: 234. Initial response was documented by hotel security. Severity level used for generation: High.",2024-05-05,354,334
170,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 256, location ID: 2. Initial response was documented by hotel security. Severity level used for generation: Medium.",2025-10-16,45,256
171,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 246, location ID: 39. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-03-27,211,246
172,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 140, location ID: 324. Initial response was documented by hotel security. Severity level used for generation: Low.",2025-01-13,115,140
173,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 291, location ID: 397. Initial response was documented by hotel security. Severity level used for generation: Low.",2026-02-17,114,291
