incident_id,title,description,severity,reported_date,status,user_id,camera_id
49,Lost guest keycard,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 439, location ID: 327. Initial response was documented by hotel security.",Low,2024-09-06,Resolved,109,439
50,Vendor access issue,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 288, location ID: 130. Initial response was documented by hotel security.",Medium,2025-10-01,In Progress,75,288
51,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 205, location ID: 20. Initial response was documented by hotel security.",Low,2026-01-14,Resolved,350,205
52,Lost guest keycard,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 475, location ID: 144. Initial response was documented by hotel security.",Low,2024-12-12,Resolved,128,475
53,Guest assistance request,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 266, location ID: 380. Initial response was documented by hotel security.",Low,2025-11-28,Resolved,42,266
54,Unauthorized staff-only access attempt,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 126, location ID: 488. Initial response was documented by hotel security.",Medium,2024-07-19,Resolved,115,126
55,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 400, location ID: 310. Initial response was documented by hotel security.",Low,2025-09-29,In Progress,389,400
56,Lost guest keycard,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 459, location ID: 229. Initial response was documented by hotel security.",Low,2025-07-09,In Progress,419,459
57,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 249, location ID: 153. Initial response was documented by hotel security.",Low,2025-06-02,In Progress,138,249
58,Parking gate dispute,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 391, location ID: 185. Initial response was documented by hotel security.",Medium,2024-12-05,Resolved,283,391
59,Suspicious activity near restricted area,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 165, location ID: 401. Initial response was documented by hotel security.",Medium,2025-01-18,Open,432,165
60,Guest assistance request,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 414, location ID: 85. Initial response was documented by hotel security.",Low,2024-08-11,Open,67,414
61,Unauthorized staff-only access attempt,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 491, location ID: 337. Initial response was documented by hotel security.",Medium,2024-08-29,Resolved,246,491
62,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 87, location ID: 438. Initial response was documented by hotel security.",Low,2025-06-18,In Progress,446,87
63,Guest assistance request,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 379, location ID: 266. Initial response was documented by hotel security.",Low,2025-06-27,In Progress,156,379
64,Guest assistance request,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 131, location ID: 498. Initial response was documented by hotel security.",Low,2025-01-21,In Progress,60,131
65,Lost guest keycard,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 77, location ID: 190. Initial response was documented by hotel security.",Low,2026-04-30,Resolved,98,77
66,Suspicious activity near restricted area,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 438, location ID: 31. Initial response was documented by hotel security.",Medium,2026-05-06,In Progress,168,438
67,Emergency exit forced open,"An emergency exit door was opened without authorization and the area was inspected. Related camera ID: 468, location ID: 338. Initial response was documented by hotel security.",High,2024-12-16,In Progress,478,468
68,Guest assistance request,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 479, location ID: 126. Initial response was documented by hotel security.",Low,2026-03-03,In Progress,286,479
69,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 69, location ID: 113. Initial response was documented by hotel security.",Low,2026-03-03,Open,136,69
70,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 101, location ID: 402. Initial response was documented by hotel security.",Low,2024-10-03,Resolved,12,101
71,Medical emergency support,"Security supported emergency response procedures for a medical incident on hotel premises. Related camera ID: 449, location ID: 407. Initial response was documented by hotel security.",Critical,2026-05-09,Open,376,449
72,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 79, location ID: 202. Initial response was documented by hotel security.",Low,2024-11-22,Resolved,38,79
73,Lost guest keycard,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 96, location ID: 244. Initial response was documented by hotel security.",Low,2024-11-26,Resolved,242,96
74,Suspicious activity near restricted area,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 80, location ID: 22. Initial response was documented by hotel security.",Medium,2025-05-04,In Progress,456,80
75,Critical server room breach attempt,"A critical access attempt to the server room was denied and escalated immediately. Related camera ID: 418, location ID: 226. Initial response was documented by hotel security.",Critical,2026-05-10,Resolved,249,418
76,Suspicious activity near restricted area,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 45, location ID: 431. Initial response was documented by hotel security.",Medium,2026-01-07,Resolved,150,45
77,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 202, location ID: 384. Initial response was documented by hotel security.",Low,2025-06-23,Resolved,394,202
78,Parking gate dispute,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 90, location ID: 298. Initial response was documented by hotel security.",Medium,2025-01-06,Resolved,459,90
79,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 253, location ID: 241. Initial response was documented by hotel security.",Low,2025-10-19,In Progress,429,253
80,Server room access violation,"Unauthorized access attempt was detected near the server room and escalated to management. Related camera ID: 101, location ID: 402. Initial response was documented by hotel security.",High,2024-10-13,Resolved,278,101
81,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 489, location ID: 182. Initial response was documented by hotel security.",Low,2024-05-15,Resolved,467,489
82,Fire alarm security response,"Security responded to a fire alarm and coordinated with maintenance and management. Related camera ID: 172, location ID: 71. Initial response was documented by hotel security.",Critical,2025-08-19,In Progress,417,172
83,Parking gate dispute,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 341, location ID: 400. Initial response was documented by hotel security.",Medium,2025-05-25,Resolved,122,341
84,Suspicious activity near restricted area,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 113, location ID: 279. Initial response was documented by hotel security.",Medium,2024-10-30,Resolved,2,113
85,Emergency exit forced open,"An emergency exit door was opened without authorization and the area was inspected. Related camera ID: 216, location ID: 177. Initial response was documented by hotel security.",High,2025-03-05,Resolved,305,216
86,Suspicious activity near restricted area,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 335, location ID: 278. Initial response was documented by hotel security.",Medium,2025-06-24,Resolved,243,335
87,Medical emergency support,"Security supported emergency response procedures for a medical incident on hotel premises. Related camera ID: 183, location ID: 347. Initial response was documented by hotel security.",Critical,2026-05-25,Open,407,183
88,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 451, location ID: 288. Initial response was documented by hotel security.",Low,2025-09-12,In Progress,460,451
89,Server room access violation,"Unauthorized access attempt was detected near the server room and escalated to management. Related camera ID: 156, location ID: 409. Initial response was documented by hotel security.",High,2025-10-28,In Progress,337,156
90,Guest assistance request,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 57, location ID: 480. Initial response was documented by hotel security.",Low,2026-05-26,In Progress,460,57
91,Suspicious activity near restricted area,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 109, location ID: 371. Initial response was documented by hotel security.",Medium,2024-05-28,In Progress,48,109
92,Vendor access issue,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 14, location ID: 53. Initial response was documented by hotel security.",Medium,2025-07-20,Resolved,153,14
93,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 111, location ID: 166. Initial response was documented by hotel security.",Low,2026-05-14,Resolved,205,111
94,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 276, location ID: 449. Initial response was documented by hotel security.",Low,2025-01-12,Open,158,276
95,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 440, location ID: 450. Initial response was documented by hotel security.",Low,2024-07-02,Resolved,192,440
96,Emergency exit forced open,"An emergency exit door was opened without authorization and the area was inspected. Related camera ID: 74, location ID: 138. Initial response was documented by hotel security.",High,2025-01-10,Resolved,245,74
97,Suspicious activity near restricted area,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 439, location ID: 327. Initial response was documented by hotel security.",Medium,2024-05-21,Resolved,446,439
98,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 494, location ID: 379. Initial response was documented by hotel security.",Low,2024-11-11,Open,286,494
99,Lost guest keycard,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 342, location ID: 355. Initial response was documented by hotel security.",Low,2025-11-11,Open,243,342
100,Unauthorized staff-only access attempt,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 339, location ID: 242. Initial response was documented by hotel security.",Medium,2026-02-18,In Progress,209,339
101,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 212, location ID: 26. Initial response was documented by hotel security.",Low,2024-07-26,In Progress,153,212
102,Guest assistance request,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 270, location ID: 374. Initial response was documented by hotel security.",Low,2025-03-26,Resolved,392,270
103,Emergency exit forced open,"An emergency exit door was opened without authorization and the area was inspected. Related camera ID: 467, location ID: 188. Initial response was documented by hotel security.",High,2026-02-16,In Progress,112,467
104,Lost guest keycard,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 83, location ID: 381. Initial response was documented by hotel security.",Low,2025-08-18,Resolved,406,83
105,Medical emergency support,"Security supported emergency response procedures for a medical incident on hotel premises. Related camera ID: 199, location ID: 9. Initial response was documented by hotel security.",Critical,2025-03-07,In Progress,401,199
106,Theft report under investigation,"A theft report was opened and CCTV footage was reviewed by the security team. Related camera ID: 251, location ID: 266. Initial response was documented by hotel security.",High,2024-10-13,In Progress,245,251
107,Server room access violation,"Unauthorized access attempt was detected near the server room and escalated to management. Related camera ID: 275, location ID: 114. Initial response was documented by hotel security.",High,2024-11-30,Resolved,133,275
108,Guest assistance request,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 59, location ID: 54. Initial response was documented by hotel security.",Low,2024-11-27,In Progress,368,59
109,Medical emergency support,"Security supported emergency response procedures for a medical incident on hotel premises. Related camera ID: 79, location ID: 202. Initial response was documented by hotel security.",Critical,2024-10-26,In Progress,493,79
110,Guest assistance request,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 99, location ID: 58. Initial response was documented by hotel security.",Low,2025-10-05,In Progress,23,99
111,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 436, location ID: 204. Initial response was documented by hotel security.",Low,2025-05-06,Resolved,317,436
112,Suspicious activity near restricted area,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 106, location ID: 210. Initial response was documented by hotel security.",Medium,2024-11-01,In Progress,438,106
113,Theft report under investigation,"A theft report was opened and CCTV footage was reviewed by the security team. Related camera ID: 272, location ID: 393. Initial response was documented by hotel security.",High,2025-02-03,In Progress,13,272
114,Vendor access issue,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 117, location ID: 486. Initial response was documented by hotel security.",Medium,2025-04-23,Resolved,126,117
115,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 281, location ID: 342. Initial response was documented by hotel security.",Low,2025-01-07,Resolved,73,281
116,Vendor access issue,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 255, location ID: 183. Initial response was documented by hotel security.",Medium,2024-08-16,Open,423,255
117,Lost guest keycard,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 138, location ID: 222. Initial response was documented by hotel security.",Low,2026-01-12,Resolved,471,138
118,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 69, location ID: 113. Initial response was documented by hotel security.",Low,2026-04-19,Resolved,107,69
119,Parking gate dispute,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 126, location ID: 488. Initial response was documented by hotel security.",Medium,2026-03-07,Resolved,178,126
120,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 155, location ID: 222. Initial response was documented by hotel security.",Low,2024-08-09,In Progress,257,155
121,Vendor access issue,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 469, location ID: 196. Initial response was documented by hotel security.",Medium,2024-07-20,Resolved,360,469
122,Unauthorized staff-only access attempt,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 145, location ID: 243. Initial response was documented by hotel security.",Medium,2024-05-26,In Progress,345,145
123,Fire alarm security response,"Security responded to a fire alarm and coordinated with maintenance and management. Related camera ID: 321, location ID: 331. Initial response was documented by hotel security.",Critical,2025-05-18,Resolved,222,321
124,Unauthorized staff-only access attempt,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 476, location ID: 205. Initial response was documented by hotel security.",Medium,2025-01-04,Resolved,434,476
125,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 241, location ID: 302. Initial response was documented by hotel security.",Low,2024-11-30,Resolved,337,241
126,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 9, location ID: 53. Initial response was documented by hotel security.",Low,2025-07-20,Resolved,68,9
127,Guest assistance request,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 313, location ID: 235. Initial response was documented by hotel security.",Low,2026-02-17,Resolved,338,313
128,Unauthorized staff-only access attempt,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 65, location ID: 486. Initial response was documented by hotel security.",Medium,2025-02-16,Resolved,163,65
129,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 5, location ID: 490. Initial response was documented by hotel security.",Low,2025-07-30,Resolved,301,5
130,Theft report under investigation,"A theft report was opened and CCTV footage was reviewed by the security team. Related camera ID: 410, location ID: 149. Initial response was documented by hotel security.",High,2026-03-14,In Progress,457,410
131,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 263, location ID: 128. Initial response was documented by hotel security.",Low,2025-04-30,Open,467,263
132,Lost guest keycard,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 385, location ID: 254. Initial response was documented by hotel security.",Low,2024-12-25,Open,409,385
133,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 311, location ID: 403. Initial response was documented by hotel security.",Low,2025-01-07,Resolved,443,311
134,Emergency exit forced open,"An emergency exit door was opened without authorization and the area was inspected. Related camera ID: 174, location ID: 86. Initial response was documented by hotel security.",High,2024-05-09,Open,36,174
135,Guest assistance request,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 498, location ID: 18. Initial response was documented by hotel security.",Low,2025-10-02,In Progress,171,498
136,Parking gate dispute,"Security handled a dispute at the parking gate and documented the access event. Related camera ID: 467, location ID: 188. Initial response was documented by hotel security.",Medium,2025-02-04,Resolved,114,467
137,Unauthorized staff-only access attempt,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 357, location ID: 109. Initial response was documented by hotel security.",Medium,2026-03-25,Resolved,238,357
138,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 130, location ID: 42. Initial response was documented by hotel security.",Low,2024-11-04,Open,213,130
139,Lost guest keycard,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 154, location ID: 229. Initial response was documented by hotel security.",Low,2026-05-04,Resolved,351,154
140,Unauthorized staff-only access attempt,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 354, location ID: 491. Initial response was documented by hotel security.",Medium,2025-07-17,Resolved,256,354
141,Unauthorized staff-only access attempt,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 37, location ID: 358. Initial response was documented by hotel security.",Medium,2026-02-23,In Progress,389,37
142,Vendor access issue,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 166, location ID: 34. Initial response was documented by hotel security.",Medium,2025-06-24,Resolved,494,166
143,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 130, location ID: 42. Initial response was documented by hotel security.",Low,2024-12-14,Resolved,8,130
144,Suspicious activity near restricted area,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 56, location ID: 123. Initial response was documented by hotel security.",Medium,2025-03-24,In Progress,335,56
145,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 396, location ID: 331. Initial response was documented by hotel security.",Low,2025-11-07,Resolved,409,396
146,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 496, location ID: 209. Initial response was documented by hotel security.",Low,2025-12-12,Open,185,496
147,Guest assistance request,"Security assisted a guest with access verification and escort to the correct area. Related camera ID: 389, location ID: 407. Initial response was documented by hotel security.",Low,2025-11-05,Resolved,217,389
148,Unattended luggage,"Unattended luggage was reported by hotel staff and inspected by security. Related camera ID: 65, location ID: 486. Initial response was documented by hotel security.",Low,2025-09-20,In Progress,433,65
149,Lost guest keycard,"Guest reported a missing keycard. Access permissions were reviewed and the card was blocked. Related camera ID: 352, location ID: 139. Initial response was documented by hotel security.",Low,2026-02-01,Open,115,352
150,Major evacuation procedure,"Security initiated support procedures for a major evacuation drill or emergency event. Related camera ID: 467, location ID: 188. Initial response was documented by hotel security.",Critical,2025-12-12,In Progress,11,467
151,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 298, location ID: 99. Initial response was documented by hotel security.",Low,2025-05-26,Resolved,65,298
152,Vendor access issue,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 14, location ID: 53. Initial response was documented by hotel security.",Medium,2025-11-24,In Progress,205,14
153,Guest room corridor disturbance,"Repeated disturbance was reported in a guest corridor and security responded. Related camera ID: 137, location ID: 165. Initial response was documented by hotel security.",High,2026-01-20,Resolved,489,137
154,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 444, location ID: 215. Initial response was documented by hotel security.",Low,2026-02-01,Resolved,174,444
155,Theft report under investigation,"A theft report was opened and CCTV footage was reviewed by the security team. Related camera ID: 175, location ID: 100. Initial response was documented by hotel security.",High,2024-10-11,Open,92,175
156,Suspicious activity near restricted area,"CCTV operator noticed suspicious movement near a restricted hotel area. Related camera ID: 266, location ID: 380. Initial response was documented by hotel security.",Medium,2025-01-10,Resolved,488,266
157,Minor door alarm,"A guest corridor door alarm was triggered and checked by the security team. Related camera ID: 330, location ID: 329. Initial response was documented by hotel security.",Low,2024-05-08,In Progress,349,330
158,Guest room corridor disturbance,"Repeated disturbance was reported in a guest corridor and security responded. Related camera ID: 113, location ID: 279. Initial response was documented by hotel security.",High,2024-05-06,Resolved,39,113
159,Vendor access issue,"A vendor arrived outside approved access hours and required security validation. Related camera ID: 483, location ID: 450. Initial response was documented by hotel security.",Medium,2025-10-23,Resolved,139,483
160,Theft report under investigation,"A theft report was opened and CCTV footage was reviewed by the security team. Related camera ID: 449, location ID: 407. Initial response was documented by hotel security.",High,2026-03-01,Open,473,449
161,Major evacuation procedure,"Security initiated support procedures for a major evacuation drill or emergency event. Related camera ID: 141, location ID: 56. Initial response was documented by hotel security.",Critical,2025-11-23,Resolved,323,141
162,Server room access violation,"Unauthorized access attempt was detected near the server room and escalated to management. Related camera ID: 183, location ID: 347. Initial response was documented by hotel security.",High,2025-02-16,Open,485,183
163,Unauthorized staff-only access attempt,"A person attempted to enter a staff-only area without proper authorization. Related camera ID: 419, location ID: 337. Initial response was documented by hotel security.",Medium,2024-09-20,Resolved,69,419
